pincode,district_name,state_name,serviceable,city_name,city_lat,city_long
110001,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110002,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110003,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110004,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110005,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110006,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110007,North Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110008,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110009,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110010,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110011,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110012,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110013,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110014,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110015,West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110016,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110017,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110018,West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110019,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110020,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110021,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110022,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110023,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110024,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110025,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110026,West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110027,West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110028,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110029,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110030,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110031,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110032,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110033,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110034,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110035,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110036,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110037,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110038,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110039,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110040,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110041,West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110042,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110043,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110044,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110045,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110046,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110047,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110048,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110049,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110050,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110051,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110052,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110053,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110054,North Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110055,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110056,North West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110057,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110058,West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110059,West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110060,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110061,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110062,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110063,West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110064,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110065,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110066,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110067,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110068,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110069,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110070,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110071,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110072,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110073,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110074,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110075,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110076,South Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110077,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110078,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
