pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long
110001,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.632742600000004,77.2195969
110002,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6352202,77.2468858
110003,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5916468,77.2317863
110004,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6141527,77.1959622
110005,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6556793,77.1874601
110006,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6610779,77.2345881
110007,North Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.678582799999997,77.19158399999999
110008,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6482162,77.1640718
110009,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7108654,77.2031493
110010,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.592929700000003,77.1218197
110011,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.604077,77.2116108
110012,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.628214500000002,77.14939040000002
110013,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.589119699999998,77.2568426
110014,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.579276399999998,77.2584768
110015,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.658925099999998,77.14576140000001
110016,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5471702,77.2002745
110017,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.527911800000002,77.2088987
110018,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6436082,77.0869837
110019,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.534691600000002,77.26017420000001
110020,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5388479,77.2753728
110021,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.588362800000002,77.1859069
110022,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.564058000000003,77.1736968
110023,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5748119,77.199129
110024,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.568378600000003,77.24164640000001
110025,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.562146999999996,77.285702
110026,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6683157,77.13654040000002
110027,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6464731,77.1169452
110028,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.631833,77.1387588
110029,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.564719099999998,77.20032359999999
110030,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.495683500000002,77.1664945
110031,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6508353,77.267595
110032,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6865527,77.2922157
110033,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7235555,77.1756757
110034,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.693044300000004,77.1350949
110035,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.673827399999997,77.16425840000001
110036,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.822200399999996,77.1718134
110037,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.544147499999998,77.1159808
110038,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.513220299999997,77.109319
110039,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.8001581,77.03548520000001
110040,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.834898,77.0898784
110041,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6696613,77.0568756
110042,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.750584600000003,77.1419808
110043,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.611665000000002,76.978678
110044,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5006897,77.3152116
110045,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.596588399999995,77.082604
110046,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6040739,77.0979509
110047,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4717584,77.1315321
110048,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.547859999999996,77.23764140000002
110049,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5623635,77.223073
110050,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.646675800000004,76.8123806
110051,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6569035,77.2822923
110052,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.689477,77.1754088
110053,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.675686199999998,77.25963370000001
110054,North Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.690398300000002,77.22753940000001
110055,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.645567,77.21109720000001
110056,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.681236199999997,77.12110679999999
110057,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5616397,77.1558839
110058,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.621742600000005,77.0882695
110059,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.621762699999998,77.0558233
110060,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6354261,77.1856762
110061,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5350902,77.05655209999999
110062,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5099937,77.2354845
110063,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.669879100000003,77.10691640000002
110064,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6258689,77.11425770000001
110065,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.567812300000003,77.26164729999999
110066,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.567446999999998,77.1873371
110067,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.543301,77.1682675
110068,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.482015899999997,77.2170731
110069,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.607645299999998,77.22542659999999
110070,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.512438899999996,77.1370115
110071,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5613397,77.0020877
110072,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.683777600000003,76.9709282
110073,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5709305,76.9058293
110074,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4550173,77.1837006
110075,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5899848,77.0443796
110076,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.531953,77.2958536
110077,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5709904,77.07184079999999
110078,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.610225399999997,77.0300594
110080,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4965582,77.2386309
110081,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7343765,77.0110492
110082,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.776237199999997,77.10016259999999
110083,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.692525699999997,77.0884449
110084,North Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7578821,77.19975600000001
110085,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7153451,77.1088008
110086,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7019847,77.0788689
110087,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.670321299999998,77.0857675
110088,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.712210499999998,77.1590304
110089,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.735894199999997,77.1286829
110090,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5488154,77.253805
110091,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.607890899999997,77.3054884
110092,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6362211,77.2922332
110093,North East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.697437400000002,77.3156292
110094,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.715670199999998,77.277957
110095,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6761864,77.3159348
110096,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.595324600000005,77.3118642
110097,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,36.6067444,127.4991872
110098,New Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.646675800000004,76.8123806
110100,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.646675800000004,76.8123806
120022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.646675800000004,76.8123806
122001,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.455472600000004,77.0219019
122002,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.474679,77.1048978
122003,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4421257,77.0652025
122004,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4051175,76.97582740000001
122005,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.436224600000003,77.030539
122006,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4813712,76.9931074
122007,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.471851,77.0578855
122008,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4929905,77.07241429999999
122009,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4641637,77.08234820000001
122010,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.490428700000002,77.1168753
122011,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4258749,77.0976195
122015,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4963709,77.0593246
122016,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.5079338,77.0751538
122017,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.507655800000002,77.02766
122018,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.418081400000002,77.0506896
122022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4599113,77.067959
122022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4599113,77.067959
122050,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.356316399999997,76.93117609999999
122051,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3484435,76.92397270000001
122052,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3702789,76.9124465
122101,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3636532,77.0219019
122102,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.311767699999997,77.0794705
122103,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.1738838,77.0794705
122104,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.746457899999996,76.9412601
122105,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,42.138642,120.9731996
122107,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.0775058,77.0334179
122108,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.939458399999996,77.0334179
122413,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3043458,76.8836261
122414,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.270120199999997,76.7682775
122502,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.2713642,76.6643728
122503,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3308988,76.8028933
122504,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.384868,76.7682775
122505,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.431704200000002,76.8951551
122506,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4330156,76.79135579999999
122508,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.8604325,77.1715228
