,actor,applicationid,from_status,substatuses,userid
0,avijit.mohanty,190,CREDIT_PENDING,"[""FOIR""]",675
1,sumalatha.thadimari,12723,INITIATED,"[""FOIR""]",95686
2,sumalatha.thadimari,43304,INITIATED,"[""FOIR"", ""POST_WRITTEN_OFF_SETTLED""]",369676
3,avijit.mohanty,43343,INITIATED,"[""FOIR""]",286157
4,prashanth.eswaramoorti,43394,INITIATED,"[""FOIR""]",292304
5,sumalatha.thadimari,43424,INITIATED,"[""FOIR"", ""OVERDUES"", ""CHEQUE_BOUNCES""]",398672
6,avijit.mohanty,43589,CREDIT_PENDING,"[""FOIR""]",221964
7,avijit.mohanty,43758,CREDIT_PENDING,"[""FOIR""]",241435
8,sumalatha.thadimari,43808,INITIATED,"[""FOIR"", ""OVERDUES""]",402478
9,priyanka.jain,43809,INITIATED,"[""FOIR""]",386889
10,vineeth.s,44194,INITIATED,"[""FOIR""]",406467
11,lakshmidevi.m,44300,INITIATED,"[""FOIR""]",297050
12,thirunaukkarasu.v,44486,CREDIT_PENDING,"[""FOIR""]",24238
13,avijit.mohanty,44779,CREDIT_PENDING,"[""FOIR""]",402303
14,lakshmidevi.m,45058,CREDIT_PENDING,"[""FOIR""]",68557
15,preetham.shetty,45229,INITIATED,"[""FOIR""]",251097
16,priyanka.jain,45523,INITIATED,"[""FOIR""]",422359
17,avijit.mohanty,45802,INITIATED,"[""FOIR""]",419771
18,avijit.mohanty,45897,CREDIT_PENDING,"[""FOIR""]",358207
19,pranjusha.periyambra,45952,INITIATED,"[""FOIR"", ""OVERDUES""]",240635
20,pranjusha.periyambra,46133,INITIATED,"[""FOIR""]",429218
21,avijit.mohanty,46169,CREDIT_PENDING,"[""FOIR""]",401630
22,pranjusha.periyambra,46469,INITIATED,"[""FOIR""]",2509
23,avijit.mohanty,46484,INITIATED,"[""FOIR""]",201390
24,preetham.shetty,46487,INITIATED,"[""MCA_NOT_FOUND""]",434280
25,pranjusha.periyambra,46530,INITIATED,"[""FOIR""]",24630
26,preetham.shetty,46546,INITIATED,"[""FOIR""]",434544
27,avijit.mohanty,46581,INITIATED,"[""FOIR""]",400115
28,pranjusha.periyambra,46641,INITIATED,"[""FOIR""]",413732
29,shreyas.r,46670,CREDIT_PENDING,"[""FOIR""]",390521
30,pranjusha.periyambra,46736,INITIATED,"[""FOIR""]",431258
31,prashanth.eswaramoorti,46841,INITIATED,"[""FOIR""]",438740
32,avijit.mohanty,46858,CREDIT_PENDING,"[""FOIR""]",436796
33,lakshmidevi.m,46860,CREDIT_PENDING,"[""FOIR""]",218668
34,sumalatha.thadimari,46909,INITIATED,"[""FOIR""]",420237
35,preetham.shetty,46914,INITIATED,"[""FOIR""]",20505
36,preetham.shetty,46943,INITIATED,"[""FOIR""]",174782
37,chandrakala.nb,46951,INITIATED,"[""FOIR""]",206551
38,namra.ruknuddin,47003,CREDIT_PENDING,"[""FOIR""]",73013
