pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long,distance,
95,110097,South West Delhi,DELHI,1,Delhi,28.704059,77.10249,36.606744,127.499187,4754
123,122105,Gurgaon,HARYANA,1,Gurgaon,28.459497,77.026638,42.138642,120.9732,4221
205,160011,Chandigarh,CHANDIGARH,1,Chandigarh,30.733315,76.779418,59.209942,39.898058,4198
250,201302,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.669156,77.453758,31.032469,121.855661,4270
1249,500101,Hyderabad,TELANGANA,1,Hyderabad,17.385044,78.486671,30.807667,108.408661,3370
1393,560112,Bengaluru,KARNATAKA,1,Bengaluru,12.971599,77.594563,1.371316,103.835594,3164
1410,561201,Bangalore Rural,KARNATAKA,1,Bangalore,12.971599,77.594563,26.139274,105.693709,3278
1426,562164,Bangalore Rural,KARNATAKA,1,Bangalore,12.971599,77.594563,37.478203,126.782376,5568
1427,563160,Kolar,KARNATAKA,1,Kolar,46.821381,-92.182098,12.959329,77.905318,13310
1483,600082,Chennai,TAMIL NADU,1,Chennai,13.08268,80.270718,21.621958,80.220327,945
1501,600113,Chennai,TAMIL NADU,1,Chennai,13.08268,80.270718,32.882379,80.24573,2192
1508,600048,Kanchipuram,TAMIL NADU,1,Kanchipuram,12.834174,79.70364,22.142538,80.146576,1031
1574,700067,Kolkata,WEST BENGAL,1,Kolkata,22.572646,88.363895,16.421683,88.384979,680
