pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long,distance
110001,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.632742600000004,77.2195969,13.0
110002,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6352202,77.2468858,16.0
110003,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5916468,77.2317863,17.0
110004,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6141527,77.1959622,13.0
110005,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6556793,77.1874601,9.0
110006,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6610779,77.2345881,13.0
110007,North Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6785828,77.19158399999998,9.0
110008,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6482162,77.1640718,8.0
110009,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7108654,77.2031493,9.0
110010,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.592929700000006,77.1218197,12.0
110011,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.604077,77.2116108,15.0
110012,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6282145,77.14939040000002,9.0
110013,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5891197,77.2568426,19.0
110014,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5792764,77.2584768,20.0
110015,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6589251,77.14576140000001,6.0
110016,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5471702,77.2002745,19.0
110017,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5279118,77.2088987,22.0
110018,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6436082,77.0869837,6.0
110019,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5346916,77.26017420000002,24.0
110020,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5388479,77.2753728,24.0
110021,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5883628,77.1859069,15.0
110022,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.564058000000006,77.1736968,17.0
110023,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5748119,77.199129,17.0
110024,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.568378600000006,77.24164640000002,20.0
110025,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.562147,77.285702,23.0
110026,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6683157,77.13654040000002,5.0
110027,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6464731,77.1169452,6.0
110028,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.631833,77.1387588,8.0
110029,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5647191,77.20032359999998,18.0
110030,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4956835,77.1664945,23.0
110031,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6508353,77.267595,17.0
110032,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6865527,77.2922157,18.0
110033,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7235555,77.1756757,7.0
110034,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.693044300000004,77.1350949,3.0
110035,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6738274,77.16425840000002,6.0
110036,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.8222004,77.1718134,14.0
110037,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5441475,77.1159808,17.0
110038,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5132203,77.109319,21.0
110039,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.8001581,77.03548520000002,12.0
110040,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.834898,77.0898784,14.0
110041,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6696613,77.0568756,5.0
110042,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.750584600000003,77.1419808,6.0
110043,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.611665,76.978678,15.0
110044,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5006897,77.3152116,30.0
110045,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.596588399999995,77.082604,12.0
110046,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6040739,77.0979509,11.0
110047,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4717584,77.1315321,25.0
110048,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.54786,77.23764140000002,21.0
110049,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5623635,77.223073,19.0
110050,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.646675800000004,76.8123806,29.0
110051,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6569035,77.2822923,18.0
110052,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.689477,77.1754088,7.0
110053,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6756862,77.25963370000002,15.0
110054,North Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6903983,77.22753940000003,12.0
110055,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.645567,77.21109720000003,12.0
110056,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6812362,77.12110679999998,3.0
110057,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5616397,77.1558839,16.0
110058,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.621742600000005,77.0882695,9.0
110059,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6217627,77.0558233,10.0
110060,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6354261,77.1856762,11.0
110061,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5350902,77.05655209999998,19.0
110062,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5099937,77.2354845,25.0
110063,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.669879100000006,77.10691640000002,3.0
110064,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6258689,77.11425770000002,8.0
110065,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.567812300000003,77.26164729999998,21.0
110066,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.567447,77.1873371,17.0
110067,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.543301,77.1682675,18.0
110068,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4820159,77.2170731,27.0
110069,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6076453,77.22542659999998,16.0
110070,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5124389,77.1370115,21.0
110071,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5613397,77.0020877,18.0
110072,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.683777600000006,76.9709282,13.0
110073,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5709305,76.9058293,24.0
110074,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4550173,77.1837006,28.0
110075,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5899848,77.0443796,13.0
110076,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.531953,77.2958536,26.0
110077,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5709904,77.07184079999998,15.0
110078,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6102254,77.0300594,12.0
110080,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4965582,77.2386309,26.0
110081,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7343765,77.0110492,9.0
110082,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7762372,77.10016259999998,8.0
110083,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6925257,77.0884449,1.0
110084,North Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7578821,77.19975600000002,11.0
110085,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7153451,77.1088008,1.0
110086,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7019847,77.0788689,2.0
110087,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6703213,77.0857675,4.0
110088,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7122105,77.1590304,5.0
110089,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7358942,77.1286829,4.0
110090,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5488154,77.253805,22.0
110091,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6078909,77.3054884,22.0
110092,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6362211,77.2922332,20.0
110093,North East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6974374,77.3156292,20.0
110094,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7156702,77.277957,17.0
110095,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6761864,77.3159348,21.0
110096,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.595324600000005,77.3118642,23.0
110097,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,36.6067444,127.4991872,4754.0
110098,New Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.646675800000004,76.8123806,29.0
110100,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.646675800000004,76.8123806,29.0
120022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.646675800000004,76.8123806,29.0
122001,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.455472600000004,77.0219019,0.0
122002,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.474679,77.1048978,7.0
122003,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4421257,77.0652025,4.0
122004,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4051175,76.97582740000001,7.0
122005,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.436224600000006,77.030539,2.0
122006,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4813712,76.9931074,4.0
122007,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.471851,77.0578855,3.0
122008,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4929905,77.07241429999998,5.0
122009,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4641637,77.08234820000001,5.0
122010,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4904287,77.1168753,9.0
122011,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4258749,77.0976195,7.0
122015,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4963709,77.0593246,5.0
122016,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.5079338,77.0751538,7.0
122017,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.5076558,77.02766,5.0
122018,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4180814,77.0506896,5.0
122022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4599113,77.067959,4.0
122022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4599113,77.067959,4.0
122050,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3563164,76.93117609999999,14.0
122051,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3484435,76.92397270000002,15.0
122052,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3702789,76.9124465,14.0
122101,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3636532,77.0219019,10.0
122102,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3117677,77.0794705,17.0
122103,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.1738838,77.0794705,32.0
122104,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.7464579,76.9412601,79.0
122105,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,42.138642,120.9731996,4221.0
122107,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.0775058,77.0334179,42.0
122108,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.9394584,77.0334179,57.0
122413,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3043458,76.8836261,22.0
122414,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.2701202,76.7682775,32.0
122502,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.2713642,76.6643728,41.0
122503,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3308988,76.8028933,26.0
122504,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.384868,76.7682775,26.0
122505,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4317042,76.8951551,13.0
122506,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4330156,76.79135579999998,23.0
122508,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.8604325,77.1715228,67.0
123106,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.1760065,76.745195,41.0
121001,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.3899664,77.2979782,2.0
121002,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.419423,77.3668965,4.0
121003,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.453860700000003,77.3032742,5.0
121004,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.2919383,77.355413,13.0
121005,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.3700239,77.2692503,6.0
121006,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.3784284,77.2924267,4.0
121007,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.388988399999995,77.3180836,2.0
121008,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.4349347,77.3180836,2.0
121009,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,28.4870386,77.2922332,9.0
