,pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long,distance
122,122104,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.7464579,76.9412601,79.0
125,122108,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.9394584,77.0334179,57.0
133,122508,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.8604325,77.1715228,67.0
151,121106,Faridabad,HARYANA,1,Faridabad,28.4089123,77.31778940000002,27.923692,77.355413,53.0
194,140125,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,31.359849600000004,76.3926668,78.0
195,140133,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,31.2787884,76.4215988,69.0
326,382130,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,23.3386485,71.975699,70.0
327,382140,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,23.2505736,72.10606800000002,53.0
328,382145,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,23.3968494,72.1771541,57.0
329,382150,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,23.1346268,71.99940670000002,59.0
335,382230,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.4976179,72.2600655,66.0
336,382240,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.6966627,72.189,53.0
337,382245,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.3403723,71.691066,117.0
338,382250,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.3218116,71.9282781,101.0
339,382255,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.2539995,71.7385225,120.0
358,382450,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.1784548,71.8808499,117.0
359,382455,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.14436,72.189,104.0
360,382460,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.4246468,72.0231125,86.0
361,382463,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.297425,72.11791690000003,92.0
362,382465,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.57136209999999,22.3595018,72.2600655,80.0
625,401103,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8913183,72.7688226,77.0
626,401103,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8913183,72.7688226,77.0
663,401401,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.6381193,72.7688226,51.0
664,401401,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.6381193,72.7688226,51.0
665,401402,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.6513093,72.7274495,54.0
666,401402,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.6513093,72.7274495,54.0
667,401403,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8028306,72.9224329,64.0
668,401403,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8028306,72.9224329,64.0
669,401404,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.7014587,72.827915,55.0
670,401404,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.7014587,72.827915,55.0
671,401405,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.7160047,72.7126718,61.0
672,401405,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.7160047,72.7126718,61.0
673,401501,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.7992312,72.7688226,67.0
674,401501,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.7992312,72.7688226,67.0
675,401502,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8358807,72.6742455,75.0
676,401502,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8358807,72.6742455,75.0
677,401503,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.9009393,72.6919814,81.0
678,401503,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.9009393,72.6919814,81.0
679,401504,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8008908,72.7274495,69.0
680,401504,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8008908,72.7274495,69.0
681,401506,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8529124,72.70084890000003,76.0
682,401506,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.8529124,72.70084890000003,76.0
683,401601,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.9493369,72.7156274,85.0
684,401601,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.9493369,72.7156274,85.0
685,401601,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.9493369,72.7156274,85.0
686,401602,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.973084,72.7806422,86.0
687,401602,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.973084,72.7806422,86.0
688,401602,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.973084,72.7806422,86.0
